	B E G J K O P Q R S T U V W X Y Z
B 0	1	1	0	0	1	0 0	1	1	0	0	1	0 1 1 1 
E	0	0	1	1	0 0	0 0	1	1	0	0	1	0 0 0 1
G 0	0	0	0	0 0	0 0	1	1	0	0	1	0 1 1 1
H 1	0	1	0	0	0	0 0 0	0 0	1	1	0	0 0 0
K	0	0	1	0	0	0	1 0 0	0 0	1	1	0	0 0 0
O	1	0	1	0	0	0	0 0 0	0 0	1	1	0	0 0 0
P	0	0	0	1 1	0	0 0 0	0 0	1	1	0	0 0 0
Q 1	0	0	0	0 0 0	0 0	1	1	0 1 1 0 0 0
R 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 
S 1 1 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0
T 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 1 1
Y 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0
V 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1
W 1	0	1	0	0	0	0 0 0	0 0	1	1	0	0 0 0
X 0	0	1	1	0 0	0 0	1	1	0	0	1	0 0 0 1
Y 0	1	1	0	0	1	0 0	1	1	0	0	1	0 1 1 1 
Z 0	1	1	0	0	1	0 0	1	1	0	0	1	0 1 1 1 

